/home/daniel/Curso_202526/OIA/miniOIA4DL/data/cifar100.py:18: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  dict = pickle.load(fo, encoding='bytes')
Building OIANet for CIFAR-100
Measuring performance...
FW Layer;Batch;Time(s);Performance(imgs/s)
Conv2D;8;7.4059;1.08
BatchNorm2D;8;0.0044;1805.85
ReLU;8;0.0012;6677.50
MaxPool2D;8;0.0017;4847.51
Conv2D;8;24.5160;0.33
BatchNorm2D;8;0.0019;4165.15
ReLU;8;0.0006;13774.40
MaxPool2D;8;0.0010;7895.16
Conv2D;8;23.9566;0.33
BatchNorm2D;8;0.0010;8162.11
ReLU;8;0.0001;72944.42
MaxPool2D;8;0.0008;9446.63
Flatten;8;0.0000;368730.02
Dense;8;0.0265;301.84
ReLU;8;0.0001;103883.69
Dropout;8;0.0003;30954.27
Dense;8;0.0005;17669.53
Softmax;8;0.0010;8297.34
==========================================
Total time: 55.92s IPS: 0.14images/sec
